Datum,Makkink (mm),G_lower,G_center,G_upper,H_lower,H_center,H_upper,Hplus_lower,Hplus_center,Hplus_upper,L_lower,L_center,L_upper
3/23/1906,1.557,0.2706,0.2506,0.2406,0.2706,0.2506,0.2406,0.2706,0.2506,0.2406,0.2706,0.2506,0.2406
3/24/1906,0.716,0,0,0,0,0,0,0,0,0,0,0,0
3/25/1906,0.563,5.7774,5.7373,5.6975,5.7774,5.7373,5.6975,5.7774,5.7373,5.6975,5.7774,5.7373,5.6975
3/26/1906,0.632,0,0,0,0,0,0,0,0,0,0,0,0
3/27/1906,1.29,0,0,0,0,0,0,0,0,0,0,0,0
3/28/1906,1.296,0,0,0,0,0,0,0,0,0,0,0,0
3/29/1906,0.832,1.2734,1.2332,1.193,1.2734,1.2332,1.193,1.2734,1.2332,1.193,1.2734,1.2332,1.193
3/30/1906,0.76,0.1389,0.129,0.1191,0.1389,0.129,0.1191,0.1389,0.129,0.1191,0.1389,0.129,0.1191
3/31/1906,0.866,0.2551,0.2355,0.2159,0.2551,0.2355,0.2159,0.2551,0.2355,0.2159,0.2551,0.2355,0.2159
4/1/1906,0.724,0,0,0,0,0,0,0,0,0,0,0,0
4/2/1906,2.461,0,0,0,0,0,0,0,0,0,0,0,0
4/3/1906,2.763,0,0,0,0,0,0,0,0,0,0,0,0
4/4/1906,2.747,0,0,0,0,0,0,0,0,0,0,0,0
4/5/1906,2.566,0,0,0,0,0,0,0,0,0,0,0,0
4/6/1906,2.735,0,0,0,0,0,0,0,0,0,0,0,0
4/7/1906,2.892,0,0,0,0,0,0,0,0,0,0,0,0
4/8/1906,2.899,0,0,0,0,0,0,0,0,0,0,0,0
4/9/1906,2.879,0,0,0,0,0,0,0,0,0,0,0,0
4/10/1906,3.269,0,0,0,0,0,0,0,0,0,0,0,0
4/11/1906,3.028,0,0,0,0,0,0,0,0,0,0,0,0
4/12/1906,3,0,0,0,0,0,0,0,0,0,0,0,0
4/13/1906,2.235,0.246,0.2264,0.2067,0.246,0.2264,0.2067,0.246,0.2264,0.2067,0.246,0.2264,0.2067
4/14/1906,0.913,0,0,0,0,0,0,0,0,0,0,0,0
4/15/1906,3.151,0,0,0,0,0,0,0,0,0,0,0,0
4/16/1906,3.203,0,0,0,0,0,0,0,0,0,0,0,0
4/17/1906,3.288,0,0,0,0,0,0,0,0,0,0,0,0
4/18/1906,0.93,10.5239,10.6629,10.8017,10.5239,10.6629,10.8017,10.5239,10.6629,10.8017,10.5239,10.6629,10.8017
4/19/1906,0.929,1.5728,1.5442,1.5256,1.5728,1.5442,1.5256,1.5728,1.5442,1.5256,1.5728,1.5442,1.5256
4/20/1906,1.83,0,0,0,0,0,0,0,0,0,0,0,0
4/21/1906,1.968,0,0,0,0,0,0,0,0,0,0,0,0
4/22/1906,2.112,3.2719,3.1822,3.1024,3.2719,3.1822,3.1024,3.2719,3.1822,3.1024,3.2719,3.1822,3.1024
4/23/1906,2.341,1.0975,1.0647,1.0237,1.0975,1.0647,1.0237,1.0975,1.0647,1.0237,1.0975,1.0647,1.0237
4/24/1906,1.784,4.0549,4.0089,3.9609,4.0549,4.0089,3.9609,4.0549,4.0089,3.9609,4.0549,4.0089,3.9609
4/25/1906,2.712,0.119,0.1178,0.1166,0.119,0.1178,0.1166,0.119,0.1178,0.1166,0.119,0.1178,0.1166
4/26/1906,1.765,2.5242,2.4741,2.424,2.5242,2.4741,2.424,2.5242,2.4741,2.424,2.5242,2.4741,2.424
4/27/1906,2.175,0,0,0,0,0,0,0,0,0,0,0,0
4/28/1906,0.949,8.1104,8.1588,8.2073,8.1104,8.1588,8.2073,8.1104,8.1588,8.2073,8.1104,8.1588,8.2073
4/29/1906,2.504,0.6114,0.5979,0.5767,0.6114,0.5979,0.5767,0.6114,0.5979,0.5767,0.6114,0.5979,0.5767
4/30/1906,2.203,3.4319,3.4225,3.4104,3.4319,3.4225,3.4104,3.4319,3.4225,3.4104,3.4319,3.4225,3.4104
5/1/1906,1.024,8.1922,8.1282,8.0549,8.1922,8.1282,8.0549,8.1922,8.1282,8.0549,8.1922,8.1282,8.0549
5/2/1906,3.166,0.4783,0.4703,0.4628,0.4783,0.4703,0.4628,0.4783,0.4703,0.4628,0.4783,0.4703,0.4628
5/3/1906,1.953,4.4191,4.3564,4.303,4.4191,4.3564,4.303,4.4191,4.3564,4.303,4.4191,4.3564,4.303
5/4/1906,2.567,7.5632,7.5722,7.581,7.5632,7.5722,7.581,7.5632,7.5722,7.581,7.5632,7.5722,7.581
5/5/1906,3.629,0,0,0,0,0,0,0,0,0,0,0,0
5/6/1906,4.018,0,0,0,0,0,0,0,0,0,0,0,0
5/7/1906,4.266,0,0,0,0,0,0,0,0,0,0,0,0
5/8/1906,4.517,0,0,0,0,0,0,0,0,0,0,0,0
5/9/1906,4.15,0,0,0,0,0,0,0,0,0,0,0,0
5/10/1906,1.157,8.3075,8.3176,8.3276,8.3075,8.3176,8.3276,8.3075,8.3176,8.3276,8.3075,8.3176,8.3276
5/11/1906,1.494,0,0,0,0,0,0,0,0,0,0,0,0
5/12/1906,4.308,0,0,0,0,0,0,0,0,0,0,0,0
5/13/1906,3.295,18.4766,18.8663,19.2565,18.4766,18.8663,19.2565,18.4766,18.8663,19.2565,18.4766,18.8663,19.2565
5/14/1906,3.339,0,0,0,0,0,0,0,0,0,0,0,0
5/15/1906,1.181,11.1795,11.2002,11.2108,11.1795,11.2002,11.2108,11.1795,11.2002,11.2108,11.1795,11.2002,11.2108
5/16/1906,1.298,2.1491,2.1084,2.0679,2.1491,2.1084,2.0679,2.1491,2.1084,2.0679,2.1491,2.1084,2.0679
5/17/1906,2.493,1.184,1.134,1.0837,1.184,1.134,1.0837,1.184,1.134,1.0837,1.184,1.134,1.0837
5/18/1906,1.835,0.3586,0.3526,0.3456,0.3586,0.3526,0.3456,0.3586,0.3526,0.3456,0.3586,0.3526,0.3456
5/19/1906,1.226,3.3503,3.286,3.2127,3.3503,3.286,3.2127,3.3503,3.286,3.2127,3.3503,3.286,3.2127
5/20/1906,1.24,15.8961,16.2371,16.5784,15.8961,16.2371,16.5784,15.8961,16.2371,16.5784,15.8961,16.2371,16.5784
5/21/1906,1.271,3.2266,3.2697,3.31,3.2266,3.2697,3.31,3.2266,3.2697,3.31,3.2266,3.2697,3.31
